record_id,msisdn,event_time,event_type,charge_amount_inr,success
72b363d90eb5,917831746326,2024-01-03,VAS_Activation,29,True
1abae562a805,917487025434,2024-01-08,Recharge,19,True
816feb01ccc8,918734089797,2024-01-01,VAS_Activation,999,True
e6da7d71413b,918377848081,2024-01-07,Recharge,499,True
f39f07839c25,917467245370,2024-01-03,Recharge,29,True
7cf6dc845103,918691632710,2024-01-04,Recharge,19,True
3c5c68a7cec7,919645505951,2024-01-07,Booster_Pack,19,True
ef2380cba35b,918221399427,2024-01-01,Booster_Pack,999,True
20b2ba8db47b,918017804565,2024-01-01,Booster_Pack,499,True
90b75b99e505,918058932018,2024-01-08,VAS_Activation,99,True
8b04ff4fe837,918793316829,2024-01-02,VAS_Activation,499,True
a5326bc496e7,918405157086,2024-01-08,VAS_Activation,19,True
6d3ad1d77464,918634551882,2024-01-05,VAS_Activation,29,True
d1f794bbba57,919444534319,2024-01-04,VAS_Activation,29,True
6cebaf82a47b,918128764864,2024-01-02,Recharge,499,True
dda15086a060,917220901076,2024-01-08,VAS_Activation,19,True
b384aeaee7f5,919609296019,2024-01-01,VAS_Activation,29,True
da0d5af4535e,917131709760,2024-01-03,Booster_Pack,499,True
21a6050b1a95,919433957044,2024-01-02,Booster_Pack,99,True
5b2351acf4e2,918185460549,2024-01-03,Recharge,99,True
d375781b21fb,918440839566,2024-01-06,VAS_Activation,999,True
dbb3efec7e46,919482907459,2024-01-07,Booster_Pack,999,True
25d916cdb13a,918930286615,2024-01-05,Recharge,99,True
6290fd66e8de,919737102327,2024-01-06,VAS_Activation,99,True
c8a1bfa10199,917407325128,2024-01-05,Recharge,99,True
c30576267b0f,919227809802,2024-01-03,Booster_Pack,999,True
e3ec75ddbae0,919155416505,2024-01-03,Recharge,29,True
0ed2499f3ef7,918405157086,2024-01-08,Booster_Pack,999,True
5cb327df23ab,917318505485,2024-01-07,VAS_Activation,999,True
228b71455a52,917591853408,2024-01-02,Recharge,99,True
35323500654c,917075379389,2024-01-04,VAS_Activation,29,True
45e80643b7cd,918000754430,2024-01-01,VAS_Activation,499,True
d2ef08d39d89,918024785896,2024-01-02,Recharge,29,True
b869a356c880,917861373382,2024-01-05,Recharge,99,True
843892a9ae94,918630130000,2024-01-08,VAS_Activation,999,True
c4a56c6621ee,919351807099,2024-01-02,Booster_Pack,19,True
072d8792c8e8,917487125410,2024-01-01,VAS_Activation,499,True
972ec43ca39b,918382359656,2024-01-05,Booster_Pack,19,True
223e506e6352,919299206410,2024-01-02,Recharge,499,True
f2906a6a692c,918616904746,2024-01-05,Recharge,499,True
331fbad229c7,919729690889,2024-01-02,VAS_Activation,29,True
a02e18c434ab,917030964874,2024-01-05,Booster_Pack,499,True
471e71be2069,919816794306,2024-01-03,Recharge,499,True
6d06ea4e6703,917071521120,2024-01-07,Booster_Pack,499,True
d7234a0eaa6d,919214674661,2024-01-07,VAS_Activation,99,True
f91a40048418,919580683369,2024-01-02,Booster_Pack,29,True
87a7f9affc57,918775981345,2024-01-06,Booster_Pack,99,True
971b54002307,918494908002,2024-01-03,VAS_Activation,29,True
4cf881d03f05,917038351919,2024-01-04,Booster_Pack,999,True
e2fd4740e630,917316675023,2024-01-04,VAS_Activation,999,True
0df873be286a,919382069008,2024-01-04,Recharge,29,True
e01da9ed23ab,918451978807,2024-01-02,Booster_Pack,499,True
d7e0f7199453,918521917267,2024-01-04,Booster_Pack,999,True
983690f546ca,919382358360,2024-01-07,Recharge,19,True
ff532d4a795c,919765346846,2024-01-04,Booster_Pack,999,True
c1803bf1b881,918897340405,2024-01-02,Recharge,29,True
f72ca804d054,917631014792,2024-01-06,Booster_Pack,99,True
d3aa86d0c755,918613772443,2024-01-05,VAS_Activation,499,True
c9ac528da8ee,917827390383,2024-01-04,VAS_Activation,999,True
7718f3ad33b8,917652737921,2024-01-06,Recharge,29,True
fa5e1dfa2e73,917421729128,2024-01-07,Booster_Pack,499,True
b2d4c10b6206,919396660286,2024-01-03,Booster_Pack,29,True
f8306417f831,919447191758,2024-01-07,Booster_Pack,499,True
e6c5120dcf8b,918987397097,2024-01-04,Booster_Pack,19,True
269dacaaa3ac,917984893392,2024-01-03,Booster_Pack,19,True
4acbace039ab,917912177790,2024-01-01,VAS_Activation,999,True
35d6d7d7d7d0,919381832924,2024-01-05,Recharge,99,True
4cf414af11c2,918060980130,2024-01-08,VAS_Activation,499,True
d9d8e72af7a5,919145818160,2024-01-03,Recharge,99,True
9e0299bfa52a,917436537415,2024-01-02,VAS_Activation,19,True
f984effd8c4e,918257726172,2024-01-03,Booster_Pack,999,True
02ad295e9b54,917737137188,2024-01-08,Booster_Pack,99,True
fbb3468c0893,917024027534,2024-01-04,Booster_Pack,499,True
1766832495b9,917403388928,2024-01-02,Booster_Pack,19,True
5794aebd1ea1,919050734273,2024-01-06,Booster_Pack,499,True
f31d852d3df3,918650930671,2024-01-07,Booster_Pack,29,True
b5867131d03d,918299645090,2024-01-07,Recharge,999,True
f0b2aa4d774b,917729374463,2024-01-08,Recharge,499,True
d6d1985dcf9c,919198897919,2024-01-02,Booster_Pack,29,True
d2654ba29efb,919672679241,2024-01-08,Booster_Pack,499,True
2789f8d50a4c,919086444763,2024-01-02,Recharge,499,True
3ea31f7c4b30,919745361361,2024-01-04,VAS_Activation,29,True
363a2acdbfd0,919050734273,2024-01-02,Recharge,99,True
ec4b4ae6ea70,918536114635,2024-01-03,Recharge,19,True
d8907e810107,917379957073,2024-01-07,Booster_Pack,99,True
766f2d557b9f,917576336730,2024-01-04,VAS_Activation,19,True
25ae521e386c,917801985824,2024-01-07,Recharge,499,True
c6049e111e0c,918345683862,2024-01-05,Recharge,29,True
da21bedff987,917867037892,2024-01-08,Booster_Pack,999,True
e9e2ebb7d7ad,918298439868,2024-01-03,Recharge,999,True
3904bd585113,917490013903,2024-01-07,Recharge,19,True
17e40e6327b3,919938969295,2024-01-05,Booster_Pack,29,True
107196141f29,918334611701,2024-01-01,Booster_Pack,499,True
7e8146c188a1,918043339219,2024-01-05,VAS_Activation,29,True
28ade926fb98,917330146248,2024-01-07,VAS_Activation,99,True
df666169acfb,919314460058,2024-01-02,VAS_Activation,19,True
b7f3d687650f,919920365573,2024-01-01,Booster_Pack,499,True
2c00aef6e841,919332425916,2024-01-03,Recharge,29,True
6233d490bc21,919358970952,2024-01-07,VAS_Activation,99,True
e2b38027bd70,919134734366,2024-01-03,Booster_Pack,999,True
528aba6f021a,918782283290,2024-01-04,Recharge,499,True
a943dac29d07,919108293022,2024-01-05,VAS_Activation,99,True
d9859c74b1f3,917248479613,2024-01-03,Booster_Pack,99,True
732841bd1139,918937728565,2024-01-06,Recharge,999,True
6c90653986f2,917771505252,2024-01-03,Recharge,29,True
558d153ff120,918655673677,2024-01-01,Recharge,19,True
06940ea8acbe,918083522357,2024-01-03,Booster_Pack,999,True
8057e56f51e7,919606583784,2024-01-01,VAS_Activation,999,True
dcd99b4c8461,917421995499,2024-01-07,Booster_Pack,99,True
421243fae74a,917137479025,2024-01-08,Recharge,499,True
7b4d809c1a39,918064983249,2024-01-06,VAS_Activation,999,True
ddd380314f5f,919074991190,2024-01-06,Recharge,499,True
5efcefe23261,917100821180,2024-01-01,VAS_Activation,499,True
9b9f40a5d543,919540661733,2024-01-01,Booster_Pack,29,True
3aeaca6cc251,917004634142,2024-01-06,VAS_Activation,29,True
345f801fb51f,919565697773,2024-01-02,VAS_Activation,29,True
8dec78aed1e2,917967891838,2024-01-06,Recharge,29,True
c4623cc780cb,918230675905,2024-01-03,VAS_Activation,999,True
ad0da17110ed,919032947535,2024-01-01,Recharge,499,True
1e09fe85ec34,918460176196,2024-01-02,VAS_Activation,29,True
5e249426e813,918861598692,2024-01-01,Recharge,99,True
57df9d24ae4f,919405467865,2024-01-05,Recharge,29,True
4ed42c725b16,917228478153,2024-01-04,Booster_Pack,99,True
f050e821b3d1,919912902797,2024-01-03,Booster_Pack,99,True
cac277b88b33,919506500303,2024-01-03,Booster_Pack,99,True
7c8e1dfac787,917389127065,2024-01-01,VAS_Activation,19,True
6dd35ae82d51,917973646420,2024-01-06,Booster_Pack,99,True
289c7bf666d4,917029392087,2024-01-03,Booster_Pack,499,True
bea44d180b4a,919274006154,2024-01-06,VAS_Activation,99,True
06a3ee37ddfa,917116208806,2024-01-06,Recharge,29,True
9102682bb9e0,919702944583,2024-01-06,Booster_Pack,19,True
f5be2dda7087,918892558842,2024-01-06,Recharge,29,True
13f825bb7138,918739459878,2024-01-08,VAS_Activation,99,True
8fdaa436ce61,919467067039,2024-01-02,Booster_Pack,99,True
4b64e09fcc08,918634551882,2024-01-03,VAS_Activation,499,True
30d224f3ef26,918513122623,2024-01-03,Booster_Pack,999,True
b5623f90caf5,919580866136,2024-01-07,Recharge,99,True
c69285af4f11,918690358405,2024-01-01,VAS_Activation,499,True
5ab8fca80825,919861429879,2024-01-07,Recharge,29,True
720ea27660dc,919000592309,2024-01-06,Recharge,499,True
72c61405cd64,917432761423,2024-01-07,Booster_Pack,999,True
a3d3e72c1f95,919247547449,2024-01-06,Recharge,999,True
3fc4e7ae23ed,919619176518,2024-01-04,VAS_Activation,29,True
519fdb564755,917066054376,2024-01-02,Booster_Pack,29,True
5c61766ed4a5,919386759170,2024-01-02,VAS_Activation,99,True
3c24732db712,918958529473,2024-01-01,Booster_Pack,19,True
775da91244f0,919386392952,2024-01-04,VAS_Activation,19,True
e6924d16669f,918319403486,2024-01-02,Booster_Pack,999,True
2ba3553a450a,917696445071,2024-01-06,Booster_Pack,99,True
c205e4236d9d,919487671607,2024-01-04,VAS_Activation,29,True
e7221561dc88,919276848754,2024-01-05,Recharge,19,True
8e1c752380b5,918432372359,2024-01-06,Recharge,99,True
373a72c140b7,918495032271,2024-01-03,Booster_Pack,999,True
6923734d841e,918337512665,2024-01-04,Booster_Pack,499,True
17295fc8e737,917361557113,2024-01-04,Recharge,19,True
b18670f60026,919613897774,2024-01-05,Recharge,19,True
fbbd3ebd9b01,917502033483,2024-01-04,VAS_Activation,499,True
c522101d2af0,918078168398,2024-01-02,VAS_Activation,29,True
5e3875ed9402,917719210275,2024-01-03,Booster_Pack,499,True
b3d491e86988,917634307518,2024-01-07,Booster_Pack,29,True
c7ab6ef76f5f,918862862576,2024-01-07,Recharge,19,True
fee34f12b889,917351555915,2024-01-06,Booster_Pack,29,True
887a13c5f297,919168626932,2024-01-04,VAS_Activation,29,True
65651be2357e,919419235634,2024-01-05,Booster_Pack,999,True
9593e2677f41,917912177790,2024-01-07,VAS_Activation,29,True
befffe756f2c,917914960218,2024-01-08,Booster_Pack,999,True
3d93c88d5ae1,918824127920,2024-01-01,Booster_Pack,99,True
faf8b8f03289,919149811890,2024-01-05,VAS_Activation,999,True
fbf23d9b8d37,919211493530,2024-01-04,Recharge,99,True
0b539bb650cd,918131953870,2024-01-07,VAS_Activation,29,True
a8e602549af5,918988152527,2024-01-03,VAS_Activation,99,True
3716641f2a01,918002516352,2024-01-02,Booster_Pack,99,True
bb5d208d6c38,919693818479,2024-01-04,VAS_Activation,999,True
17d12c88ce25,919101671456,2024-01-05,Recharge,19,True
dd08f6f05db7,918877831584,2024-01-07,Recharge,499,True
16ae36ceb97b,918399518313,2024-01-01,Recharge,29,True
138738b5f160,918513368515,2024-01-02,Recharge,999,True
8680cb600dea,917444118133,2024-01-07,VAS_Activation,19,True
b74fc0697f78,917683367412,2024-01-07,Recharge,29,True
30d885eb2f08,918846176335,2024-01-05,VAS_Activation,999,True
f68fb41db312,919088731708,2024-01-02,Recharge,99,True
f525d5a69eab,917167476769,2024-01-07,Booster_Pack,499,True
