msisdn,imsi,plan_name,monthly_quota_gb,default_5qi,is_premium,device_type,priority_arp,roaming_allowed
919339180462,4044119758389,Basic_4G,30,9,False,OnePlus 11,5,False
918760633586,4047064979542,Gold_Family,100,5,True,iPhone 15,1,False
917617299185,4045604602747,Pay_As_You_Go,30,9,False,iPhone 15,5,True
919138719828,4044547085242,Basic_4G,30,9,False,Xiaomi Redmi Note,5,False
918291259462,4041107163549,Pay_As_You_Go,30,9,False,OnePlus 11,5,True
919050362134,4048201008547,Gold_Family,100,5,True,Xiaomi Redmi Note,1,False
917016407439,4043732415658,Super_Streamer_5G,100,5,True,OnePlus 11,1,False
918270048497,4043174314509,Basic_4G,30,9,False,Samsung S24,5,False
918550889215,4044375433848,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,False
919495172900,4041882062032,Gold_Family,100,5,True,Samsung S24,1,False
917057182524,4046982458152,Basic_4G,30,9,False,iPhone 15,5,False
919936884473,4045128593195,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,False
918489229195,4042347595786,Super_Streamer_5G,100,5,True,iPhone 15,1,True
917364262289,4048052451961,Basic_4G,30,9,False,Samsung S24,5,False
918534146860,4041643501168,Pay_As_You_Go,30,9,False,iPhone 15,5,True
919911123745,4041416026296,Basic_4G,30,9,False,iPhone 15,5,True
917440590914,4045786848278,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,False
919892668543,4045213838527,Super_Streamer_5G,100,5,True,iPhone 15,1,True
919729690889,4041527180948,Pay_As_You_Go,30,9,False,OnePlus 11,5,True
917653703435,4041920441840,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,False
917576283243,4044372585841,Gold_Family,100,5,True,Samsung S24,1,False
917779189034,4047582246571,Basic_4G,30,9,False,Xiaomi Redmi Note,5,False
917789935947,4045617377359,Pay_As_You_Go,30,9,False,OnePlus 11,5,True
919710751517,4049906071057,Gold_Family,100,5,True,OnePlus 11,1,True
918672365527,4041122692878,Super_Streamer_5G,100,5,True,Samsung S24,1,True
917208947065,4042089627378,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,True
918087048693,4043621333203,Basic_4G,30,9,False,Xiaomi Redmi Note,5,False
917100734688,4048163857171,Gold_Family,100,5,True,Xiaomi Redmi Note,1,False
918728706530,4048762123018,Pay_As_You_Go,30,9,False,iPhone 15,5,False
917518154374,4046877413393,Basic_4G,30,9,False,OnePlus 11,5,False
919088318791,4043659738888,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,False
919064951771,4046758162289,Pay_As_You_Go,30,9,False,iPhone 15,5,False
918687853115,4043266407607,Gold_Family,100,5,True,Samsung S24,1,True
917427822426,4045210506578,Super_Streamer_5G,100,5,True,OnePlus 11,1,False
